WORD,COUNT,RANK
cheere,3,663
children,3,664
cold,3,665
comming,3,666
countries,3,667
country,3,668
crowne,3,669
cruell,3,670
"cry,",3,671
damn'd,3,672
damned,3,673
darke,3,674
deed:,3,675
deepe,3,676
"deepe,",3,677
deere,3,678
didst,3,679
"do,",3,680
"doctor,",3,681
"donalbaine,",3,682
doubt,3,683
due,3,684
duncane,3,685
duncans,3,686
dunsinane,3,687
dy'de,3,688
"eare,",3,689
eate,3,690
enemie,3,691
"england,",3,692
execution,3,693
faces,3,694
"false,",3,695
farre,3,696
fast,3,697
father?,3,698
feast,3,699
"foole,",3,700
foule,3,701
found,3,702
"friends,",3,703
further,3,704
gashes,3,705
generall,3,706
giues,3,707
"glamys,",3,708
gods,3,709
"gone,",3,710
graces,3,711
greater,3,712
groomes,3,713
growes,3,714
guest,3,715
halfe,3,716
hand:,3,717
hard,3,718
hayle,3,719
"head,",3,720
"heart,",3,721
"heauen,",3,722
hell,3,723
"hell,",3,724
"here,",3,725
here?,3,726
him:,3,727
him;,3,728
"hold,",3,729
holy,3,730
"honor,",3,731
honors,3,732
hopes,3,733
horrible,3,734
horrid,3,735
"horror,",3,736
horses,3,737
husband?,3,738
"in,",3,739
indeed,3,740
"is,",3,741
kill,3,742
kill'd,3,743
kinde,3,744
knocke.,3,745
labour,3,746
lacke,3,747
lad.,3,748
"last,",3,749
"late,",3,750
liu'd,3,751
look'd,3,752
lord:,3,753
lost,3,754
"lost,",3,755
loues,3,756
"lye,",3,757
maiesty,3,758
mallice,3,759
mans,3,760
may'st,3,761
me?,3,762
meere,3,763
meeting,3,764
met,3,765
milke,3,766
"mine,",3,767
murth.,3,768
"murther,",3,769
murtherers.,3,770
murthers,3,771
newest,3,772
night.,3,773
no:,3,774
norweyan,3,775
not:,3,776
"nothing,",3,777
now.,3,778
o're,3,779
"obedience,",3,780
"oh,",3,781
"on,",3,782
owle,3,783
pay,3,784
point,3,785
port.,3,786
porter.,3,787
pretty,3,788
purpose,3,789
question,3,790
quinta.,3,791
"ready,",3,792
remembrance,3,793
remoue,3,794
"report,",3,795
ring,3,796
rosse,3,797
sea,3,798
seeke,3,799
sent,3,800
ser.,3,801
seruant,3,802
sexta.,3,803
shame,3,804
shut,3,805
sides,3,806
sight,3,807
single,3,808
"sisters,",3,809
sleepe:,3,810
sonnes,3,811
soone,3,812
"sorrow,",3,813
soules,3,814
"speake,",3,815
spirits,3,816
spoke,3,817
spoken,3,818
"sprights,",3,819
"state,",3,820
successe:,3,821
summons,3,822
sundry,3,823
sunne,3,824
"swift,",3,825
thanes,3,826
